sample_id,location,land_use,elevation_m_paper,biome,env_feature,soil_type_wrb,longitude,latitude,precip_mm_paper,mat_c_paper,toc_stock_t_ha,tn_stock_t_ha,season,tc,toc,tic,loi,tn,bd,sm_grav,sm_vol,ph_sn,ph_su,ec,sampling_dt,era5_precip_mm,era5_mat_c,era5_elevation_m,climate_is_fallback,precip_mm,mat_c,elevation_m,doy,is_september,cn_ratio,carbonate_frac
1,petropavlovsk town,shrub cover,94.133,temperate shrubland,scrubland,chernozem,69.10011202,54.89328302,357.5365217391304,1.5558695652173893,21.76719195,1.9380375000000003,may,11.225,10.775,0.4499999999999993,17.61033596230689,0.845,1.4448819535864814,23.55121938695865,0.37885242441733313,7.14666666666667,7.113333333333333,645.15,2015-05-25 16:45:00,438.7266666666666,3.1017521445519254,97.0,0,438.7266666666666,3.1017521445519254,97.0,145,0,12.751479289940828,0.040089086859688136
1,petropavlovsk town,shrub cover,94.133,temperate shrubland,scrubland,chernozem,69.10011202,54.89328302,357.5365217391304,1.5558695652173893,21.76719195,1.9380375000000003,sep,9.413333333333334,9.013333333333334,0.40000000000000036,18.616047124807224,0.76,1.7723818150770903,22.2,0.35704720527717515,6.993333333333333,7.07,333.06666666666666,2015-09-17 18:50:00,438.7266666666666,3.1017521445519254,97.0,0,438.7266666666666,3.1017521445519254,97.0,260,1,11.859649122807017,0.04249291784702553
2,bishkul village,crop cover,108.423,temperate grassland,steppe soil,chernozem,69.0990969725,54.7481480241,357.5365217391304,1.5558695652173893,45.343799999999995,4.276800000000001,may,27.240000000000002,23.846666666666668,3.3933333333333344,49.18630127736162,1.94,1.6,17.97885483953323,0.29135439376587857,6.573333333333333,6.04,75.70333333333333,2015-05-25 18:00:00,429.3133333333333,3.2185982843584595,112.0,0,429.3133333333333,3.2185982843584595,112.0,145,0,12.292096219931272,0.12457170827214883
2,bishkul village,crop cover,108.423,temperate grassland,steppe soil,chernozem,69.0990969725,54.7481480241,357.5365217391304,1.5558695652173893,45.343799999999995,4.276800000000001,sep,19.365000000000002,18.659999999999997,0.7050000000000054,41.781786555067505,1.58,1.6410784447280653,17.99,0.2914877544206438,6.41,6.38,168.36666666666667,2015-09-17 17:52:00,429.3133333333333,3.2185982843584595,112.0,0,429.3133333333333,3.2185982843584595,112.0,260,1,11.810126582278478,0.03640588690937285
3,astrakhanka village,tree cover,139.003,temperate broadleaf forest,broadleaf forest,chernozem,69.193820022,54.5429850183,357.5365217391304,1.5558695652173893,73.64700000000002,6.3315,may,48.39666666666667,47.765,0.6316666666666677,79.24401800891911,3.54,1.280285825591109,45.519752102506004,0.5477894446700796,6.58666666666667,6.19,135.0666666666667,2015-05-25 19:00:00,430.2566666666667,3.204982661069538,141.0,0,430.2566666666667,3.204982661069538,141.0,145,0,13.492937853107344,0.013051863075969441
3,astrakhanka village,tree cover,139.003,temperate broadleaf forest,broadleaf forest,chernozem,69.193820022,54.5429850183,357.5365217391304,1.5558695652173893,73.64700000000002,6.3315,sep,51.510000000000005,40.915000000000006,10.594999999999999,83.98942917962357,3.495,1.1265350352372592,43.12,0.5189289548752791,6.976666666666667,6.933333333333334,915.0666666666666,2015-09-17 17:05:00,430.2566666666667,3.204982661069538,141.0,0,430.2566666666667,3.204982661069538,141.0,260,1,11.70672389127325,0.20568821588041153
4,rublivka village,grass cover,127.015,temperate grassland,steppe soil,chernozem,69.1581530124,54.2703310121,346.1130434782609,1.7744927536231878,32.688,4.202999999999999,may,36.599999999999994,32.47666666666667,4.123333333333328,67.34507869572367,2.885,1.3177579365079364,28.769841269841276,0.3439569376480348,7.363333333333333,7.330000000000001,148.16666666666666,2015-05-25 19:50:00,412.72,3.4196294944332912,130.0,0,412.72,3.4196294944332912,130.0,145,0,11.257076834199886,0.11265938069216744
4,rublivka village,grass cover,127.015,temperate grassland,steppe soil,chernozem,69.1581530124,54.2703310121,346.1130434782609,1.7744927536231878,32.688,4.202999999999999,sep,27.105,18.16,8.945,42.72114394277084,1.7850000000000001,1.0733358068422212,23.71,0.28351896355611816,7.693333333333334,7.64,695.4333333333334,2015-09-17 16:15:00,412.72,3.4196294944332912,130.0,0,412.72,3.4196294944332912,130.0,260,1,10.173669467787114,0.33001291274672573
5,roshinskoe village,grass cover,127.865,temperate grassland,steppe soil,chernozem,69.1613340285,54.0181610361,346.1130434782609,1.7744927536231878,42.27629999999999,4.1124,may,34.269999999999996,31.08666666666667,3.1833333333333265,63.17110138539455,3.335,0.6768130996440966,34.289990325815864,0.3155159787259623,8.700000000000001,8.57,709.4666666666667,2015-05-25 20:30:00,404.0633333333333,3.4421062237634605,131.0,0,404.0633333333333,3.4421062237634605,131.0,145,0,9.321339330334833,0.09288979671238187
5,roshinskoe village,grass cover,127.865,temperate grassland,steppe soil,chernozem,69.1613340285,54.0181610361,346.1130434782609,1.7744927536231878,42.27629999999999,4.1124,sep,33.379999999999995,30.634999999999998,2.7449999999999974,64.0793625677204,2.625,1.163467261858148,21.07,0.19384915144933137,7.580000000000001,7.446666666666666,699.6999999999999,2015-09-17 15:00:00,404.0633333333333,3.4421062237634605,131.0,0,404.0633333333333,3.4421062237634605,131.0,260,1,11.67047619047619,0.08223487118034745
6,obukhovka village,grass cover,188.194,temperate grassland,steppe soil,chernozem,69.4388279971,53.6589269992,332.2260869565216,1.6171014492753626,45.5949,5.232600000000001,may,44.115,41.61333333333334,2.501666666666665,71.27915661339833,3.89,1.0093931623931625,25.77991452991453,0.27921056178034404,6.986666666666667,6.573333333333333,158.53333333333333,2015-05-25 21:10:00,405.42333333333335,3.5848147472166456,190.0,0,405.42333333333335,3.5848147472166456,190.0,145,0,10.69751499571551,0.056707846915259326
6,obukhovka village,grass cover,188.194,temperate grassland,steppe soil,chernozem,69.4388279971,53.6589269992,332.2260869565216,1.6171014492753626,45.5949,5.232600000000001,sep,35.495000000000005,28.145,7.350000000000005,62.05282295000873,2.5700000000000003,1.1567161300200766,21.97,0.2379475368273435,7.010000000000001,7.366666666666667,450.26666666666665,2015-09-17 13:50:00,405.42333333333335,3.5848147472166456,190.0,0,405.42333333333335,3.5848147472166456,190.0,260,1,10.951361867704279,0.20707141850964936
7,kokshetau town,shrub cover,250.348,temperate shrubland,steppe soil,chernozem,69.4723530114,53.2594230305,323.71565217391304,1.3937681159420279,38.1907,3.7701,may,27.729999999999997,25.073333333333334,2.6566666666666627,38.22541649280488,2.4699999999999998,0.9322092115534739,22.31589903721051,0.2637626035042447,6.18,6.016666666666666,238.29999999999998,2015-05-26 08:40:00,399.13666666666666,3.3857364482569814,252.0,0,399.13666666666666,3.3857364482569814,252.0,146,0,10.151147098515521,0.09580478422887354
7,kokshetau town,shrub cover,250.348,temperate shrubland,steppe soil,chernozem,69.4723530114,53.2594230305,323.71565217391304,1.3937681159420279,38.1907,3.7701,sep,22.826666666666664,21.576666666666668,1.2499999999999964,42.53653425810518,1.79,1.4316893121335592,12.18,0.14392685635027622,5.923333333333333,5.763333333333333,673.2333333333332,2015-09-18 15:30:00,399.13666666666666,3.3857364482569814,252.0,0,399.13666666666666,3.3857364482569814,252.0,261,1,12.054003724394786,0.05476051401869144
8,kenesary village,grass cover,327.493,temperate grassland,steppe soil,chernozem,69.8902260046,53.1068569701,324.95130434782607,1.4015217391304355,39.0987,4.07835,may,31.090000000000003,28.155,2.9350000000000023,61.00257876674398,2.92,0.839657477712189,34.40175955373524,0.3721794200001841,7.996666666666667,7.969999999999999,130.5,2015-05-26 09:15:00,413.0733333333334,3.035006388027012,330.0,0,413.0733333333334,3.035006388027012,330.0,146,0,9.642123287671234,0.09440334512705056
8,kenesary village,grass cover,327.493,temperate grassland,steppe soil,chernozem,69.8902260046,53.1068569701,324.95130434782607,1.4015217391304355,39.0987,4.07835,sep,27.935000000000002,24.134999999999998,3.8000000000000043,71.02261174740838,2.115,1.3240656825425794,21.0,0.22717435337989683,7.0,7.239999999999999,,2015-09-18 16:09:00,413.0733333333334,3.035006388027012,330.0,0,413.0733333333334,3.035006388027012,330.0,261,1,11.411347517730494,0.1360300698049044
9,shuchinsk village,crop cover,407.036,temperate grassland,steppe soil,chernozem,70.2038380131,52.8430580255,328.1321739130434,1.213913043478261,63.58005,5.014574999999999,may,39.095,37.67000000000001,1.42499999999999,51.81614769815576,2.98,1.389914825271347,27.983687809774764,0.38535629941364385,8.993333333333332,8.523333333333333,478.6333333333334,2015-05-26 10:00:00,389.27,2.653221390764738,412.0,0,389.27,2.653221390764738,412.0,146,0,12.64093959731544,0.036449673871338795
9,shuchinsk village,crop cover,407.036,temperate grassland,steppe soil,chernozem,70.2038380131,52.8430580255,328.1321739130434,1.213913043478261,63.58005,5.014574999999999,sep,33.425,30.715,2.7099999999999973,78.03521422822263,1.865,1.3642346790241078,17.96,0.24726170645284634,6.123333333333332,6.333333333333333,362.0,2015-09-18 17:04:00,389.27,2.653221390764738,412.0,0,389.27,2.653221390764738,412.0,261,1,16.469168900804288,0.0810770381451009
10,makinka village,tree cover,416.058,temperate mixed forest,mixed forest,chernozem,70.5614609644,52.5971349981,329.8582608695652,1.42536231884058,35.26199999999999,2.6189999999999998,may,9.316666666666666,9.283333333333333,0.033333333333333215,27.221365069213228,1.2599999999999998,1.1873914453279197,21.364804945170878,0.30744910200840525,4.6000000000000005,4.126666666666666,59.75333333333333,2015-05-26 10:40:00,373.35333333333335,2.640709983573645,418.0,0,373.35333333333335,2.640709983573645,418.0,146,0,7.367724867724869,0.003577817531305891
10,makinka village,tree cover,416.058,temperate mixed forest,mixed forest,chernozem,70.5614609644,52.5971349981,329.8582608695652,1.42536231884058,35.26199999999999,2.6189999999999998,sep,19.0,16.325,2.6750000000000007,26.244410333183282,1.165,1.6906980429444982,7.51,0.10808734147354784,5.953333333333333,5.323333333333333,209.63333333333333,2015-09-18 17:43:00,373.35333333333335,2.640709983573645,418.0,0,373.35333333333335,2.640709983573645,418.0,261,1,14.012875536480685,0.14078947368421058
11,krasniy gornyak village,shrub cover,384.35,temperate grassland,steppe soil,chernozem,70.9449910372,52.1775570419,324.7660869565217,1.904927536231885,24.900749999999995,3.632475000000001,may,28.65,25.813333333333333,2.836666666666666,43.44224654905646,2.7,0.8179169865349807,24.961744354588927,0.2965679782003659,7.87,7.866666666666667,99.29666666666668,2015-05-26 11:20:00,363.8433333333333,3.055749224311006,387.0,0,363.8433333333333,3.055749224311006,387.0,146,0,9.560493827160492,0.09901105293775449
11,krasniy gornyak village,shrub cover,384.35,temperate grassland,steppe soil,chernozem,70.9449910372,52.1775570419,324.7660869565217,1.904927536231885,24.900749999999995,3.632475000000001,sep,18.925,13.95,4.975000000000001,37.57877670216039,1.3699999999999999,1.5582629265993428,15.03,0.17862619791710707,7.113333333333333,7.456666666666666,359.5333333333333,2015-09-18 18:22:00,363.8433333333333,3.055749224311006,387.0,0,363.8433333333333,3.055749224311006,387.0,261,1,10.182481751824819,0.262879788639366
12,bozaigyr,grass cover,407.792,temperate grassland,steppe soil,kastanozem,71.1892660148,51.5023870301,320.09130434782605,2.1377536231884036,31.45499999999999,4.1137500000000005,may,33.406666666666666,30.745,2.6616666666666653,54.05491713831654,3.3600000000000003,0.7748669649678053,28.253058799277294,0.28378350360538057,8.383333333333335,7.953333333333333,109.5,2015-05-26 12:10:00,363.74,3.5170651578755248,410.0,0,363.74,3.5170651578755248,410.0,146,0,9.150297619047619,0.07967471562562359
12,bozaigyr,grass cover,407.792,temperate grassland,steppe soil,kastanozem,71.1892660148,51.5023870301,320.09130434782605,2.1377536231884036,31.45499999999999,4.1137500000000005,sep,29.795,20.97,8.825000000000003,54.55371944914893,2.125,1.234002273681714,16.26,0.16331450210866477,6.996666666666666,7.53,379.2333333333333,2015-09-18 19:42:00,363.74,3.5170651578755248,410.0,0,363.74,3.5170651578755248,410.0,261,1,9.868235294117646,0.2961906360127539
13,5 km from taraz town,grass cover,592.175,montane temperate grassland,grassland,umbrisol,71.5081860311,42.9388099629,404.18434782608693,5.696304347826088,25.192125000000004,2.9161125,may,28.636666666666667,12.775,15.861666666666666,17.926250851703127,1.51,1.2990680259497889,7.2094267178722236,0.10565299905729274,7.326666666666665,8.1,216.70000000000002,2015-05-28 07:50:00,424.6433333333333,11.533847417411936,591.0,0,424.6433333333333,11.533847417411936,591.0,148,0,8.460264900662251,0.5538936095914329
13,5 km from taraz town,grass cover,592.175,montane temperate grassland,grassland,umbrisol,71.5081860311,42.9388099629,404.18434782608693,5.696304347826088,25.192125000000004,2.9161125,sep,28.035,11.425,16.61,44.347749010497864,1.135,1.631900092702218,10.92,0.16006726190243323,7.496666666666667,8.266666666666667,352.1333333333334,2015-09-23 10:00:00,424.6433333333333,11.533847417411936,591.0,0,424.6433333333333,11.533847417411936,591.0,266,1,10.066079295154186,0.5924736935972891
14,akyrtobe,crop cover,605.374,temperate grassland,steppe soil,umbrisol,71.9999600016,42.9989020061,423.59478260869554,3.0024637681159403,18.600975,2.4728625,may,18.273333333333333,10.205,8.068333333333333,16.187274571191292,1.31,1.3280016858714947,5.142736723464682,0.07852692239595171,7.753333333333334,8.23,193.66666666666666,2015-05-28 09:10:00,596.7900000000001,11.5218196751232,604.0,0,596.7900000000001,11.5218196751232,604.0,148,0,7.790076335877862,0.4415359357898577
14,akyrtobe,crop cover,605.374,temperate grassland,steppe soil,umbrisol,71.9999600016,42.9989020061,423.59478260869554,3.0024637681159403,18.600975,2.4728625,sep,21.475,8.105,13.370000000000001,43.33804473686905,0.845,1.7258945945253497,5.59,0.085289748223824,7.71,8.326666666666666,240.46666666666667,2015-09-23 10:44:00,596.7900000000001,11.5218196751232,604.0,0,596.7900000000001,11.5218196751232,604.0,266,1,9.591715976331361,0.6225844004656578
15,kokdonen,grass cover,751.884,montane temperate grassland,grassland,umbrisol,72.5784709956,42.9302839749,408.4113043478261,4.10659420289856,26.611199999999997,3.2184000000000004,may,22.97666666666667,12.495000000000001,10.48166666666667,24.10242196593648,1.61,1.2162543435846116,6.441973570414491,0.09249023920170983,7.373333333333332,8.1,256.5,2015-05-28 09:45:00,749.0733333333334,9.719337470341303,753.0,0,749.0733333333334,9.719337470341303,753.0,148,0,7.760869565217392,0.4561874365298129
15,kokdonen,grass cover,751.884,montane temperate grassland,grassland,umbrisol,72.5784709956,42.9302839749,408.4113043478261,4.10659420289856,26.611199999999997,3.2184000000000004,sep,24.59,12.32,12.27,37.55757250898799,1.3699999999999999,1.6552333384422075,6.27,0.09005240789665422,7.283333333333334,7.833333333333333,345.5,2015-09-23 11:30:00,749.0733333333334,9.719337470341303,753.0,0,749.0733333333334,9.719337470341303,753.0,266,1,8.992700729927009,0.49898332655551036
